product_name,product_price,product_image,product_url
DENIM PAPERBAG BERMUDA SHORTS,"₹ 1,890.00",//static.zara.net/photos///2019/I/0/1/p/8727/208/800/2/w/560/8727208800_1_1_1.jpg?ts=1562936317076,https://www.zara.com/in/en/denim-paperbag-bermuda-shorts-p08727208.html
STRETCH SHORTS,"₹ 1,890.00",//static.zara.net/photos///2019/I/0/1/p/4391/250/507/2/w/560/4391250507_1_1_1.jpg?ts=1565005998755,https://www.zara.com/in/en/stretch-shorts-p04391250.html
HI-RISE RIPPED DENIM SHORTS,"₹ 1,890.00",//static.zara.net/photos///2019/I/0/1/p/9123/204/406/2/w/560/9123204406_1_1_1.jpg?ts=1563541622306,https://www.zara.com/in/en/hi-rise-ripped-denim-shorts-p09123204.html
BASIC POLO SHIRT,₹ 490.00,//static.zara.net/photos///2019/I/0/3/p/1887/762/250/2/w/560/1887762250_1_1_1.jpg?ts=1562601635884,https://www.zara.com/in/en/basic-polo-shirt-p01887762.html
BLACK LEATHER MULTI-POCKET UTILITY VEST,"₹ 7,990.00",//static.zara.net/photos///2019/I/1/2/p/6918/005/040/2/w/560/6918005040_1_1_1.jpg?ts=1570807198888,https://www.zara.com/in/en/black-leather-multi-pocket-utility-vest-p16918005.html
FLOWING BUTTONED TRENCH COAT,"₹ 5,990.00",//static.zara.net/photos///2019/I/0/1/p/2761/255/733/16/w/560/2761255733_1_1_1.jpg?ts=1565712409321,https://www.zara.com/in/en/flowing-buttoned-trench-coat-p02761255.html
LOOSE-FITTING TRENCH COAT WITH POCKETS,"₹ 4,990.00",//static.zara.net/photos///2019/I/0/1/p/0518/257/704/13/w/560/0518257704_1_1_1.jpg?ts=1568042143095,https://www.zara.com/in/en/loose-fitting-trench-coat-with-pockets-p00518257.html
TRENCH COAT WITH CONTRAST DRAWSTRINGS,"₹ 5,990.00",//static.zara.net/photos///2019/I/0/1/p/0518/263/305/2/w/560/0518263305_1_1_1.jpg?ts=1567067230326,https://www.zara.com/in/en/trench-coat-with-contrast-drawstrings-p00518263.html
TRENCH COAT WITH CONTRAST PIPING,"₹ 4,990.00",//static.zara.net/photos///2019/I/0/1/p/3427/270/751/2/w/560/3427270751_1_1_1.jpg?ts=1566293408429,https://www.zara.com/in/en/trench-coat-with-contrast-piping-p03427270.html
TEXTURED HOOP EARRINGS,"₹ 1,290.00",//static.zara.net/photos///2019/I/0/1/p/4319/275/303/2/w/560/4319275303_1_1_1.jpg?ts=1569405973690,https://www.zara.com/in/en/textured-hoop-earrings-p04319275.html
